id,repo,body,url,issue_url,issue_title,created_at,user
2317098208,w3ctag/design-reviews,Thanks much @matatk for updating this issue with your conclusions.,https://github.com/w3ctag/design-reviews/issues/973#issuecomment-2317098208,https://github.com/w3ctag/design-reviews/issues/973,Before 6 August 2023 -- Guidance on Applying WCAG 2 to Non-Web Information and Communications Technologies (WCAG2ICT) - Google Chrome - Daniel (w3.org),2024-08-29T09:09:43Z,daniel-montalvo
2317068144,whatwg/html,"While we are very much aligned on solution and reasoning, I am not able to make the call whether we'",https://github.com/whatwg/html/issues/6235#issuecomment-2317068144,https://github.com/whatwg/html/issues/6235,"Escape ""<"" and "">"" in attributes",2024-08-29T08:56:00Z,mozfreddyb
2317022659,whatwg/html,Are form elements like `<input>` currently supported?  There is a use case in Ant design. https://,https://github.com/whatwg/html/issues/10317#issuecomment-2317022659,https://github.com/whatwg/html/issues/10317,Content model and 'what' to render for stylable `<select>` elements,2024-08-29T08:33:21Z,yisibl
2317016815,whatwg/html,"LGTM (I'm not a committer, so cannot formally approve it)",https://github.com/whatwg/html/pull/10587#issuecomment-2317016815,https://github.com/whatwg/html/pull/10587,Invoke WebDriver BiDi history updated,2024-08-29T08:30:23Z,sadym-chromium
2316857432,w3ctag/design-reviews,"Thanks for your review request, and to the WCAG2ICT TF for this update. We discussed this in our ple",https://github.com/w3ctag/design-reviews/issues/973#issuecomment-2316857432,https://github.com/w3ctag/design-reviews/issues/973,Before 6 August 2023 -- Guidance on Applying WCAG 2 to Non-Web Information and Communications Technologies (WCAG2ICT) - Google Chrome - Daniel (w3.org),2024-08-29T07:01:58Z,matatk
2316824984,w3ctag/design-reviews,We don't have anything add to the excellent design work done by the experts in this space. Thank you,https://github.com/w3ctag/design-reviews/issues/959#issuecomment-2316824984,https://github.com/w3ctag/design-reviews/issues/959,Requesting review of HTML Ruby Markup Extensions,2024-08-29T06:39:19Z,jyasskin
2316819239,w3ctag/design-reviews,This strikes us as a good overall direction for the evolution of the storage access API.  One conc,https://github.com/w3ctag/design-reviews/issues/982#issuecomment-2316819239,https://github.com/w3ctag/design-reviews/issues/982,Early design review: Storage Access Headers,2024-08-29T06:35:09Z,jyasskin
2316812361,w3ctag/design-reviews,Hi @LuHuangMSFT thanks for this - we're just reviewing in our TAG plenary call today and we're going,https://github.com/w3ctag/design-reviews/issues/875#issuecomment-2316812361,https://github.com/w3ctag/design-reviews/issues/875,TAG review for web app `scope_extensions`,2024-08-29T06:29:55Z,torgo
2316803623,w3ctag/design-reviews,"Thank you @fgmccabe for bringing this to us, and we apologize for taking so long to respond to it. W",https://github.com/w3ctag/design-reviews/issues/809#issuecomment-2316803623,https://github.com/w3ctag/design-reviews/issues/809,WebAssembly JavaScript Promise Integration API,2024-08-29T06:22:53Z,jyasskin
2316801231,w3ctag/design-reviews,Hi Diego - thanks for sending this our way. We're happy to see this move forward and would like to r,https://github.com/w3ctag/design-reviews/issues/888#issuecomment-2316801231,https://github.com/w3ctag/design-reviews/issues/888,Web Install API - Same Origin,2024-08-29T06:21:00Z,torgo
2316798045,w3ctag/design-reviews,"Hi @xiaochengh and @tabatkins, thank you for bringing this to us and for thoroughly discussing it in",https://github.com/w3ctag/design-reviews/issues/848#issuecomment-2316798045,https://github.com/w3ctag/design-reviews/issues/848,Specification review for CSS Anchor Positioning,2024-08-29T06:18:13Z,torgo
2316369265,whatwg/html,I was specifically thinking about the new tag since blocking on an #id seems inherently more risky i,https://github.com/whatwg/html/issues/10513#issuecomment-2316369265,https://github.com/whatwg/html/issues/10513,Consider adding `view-transition` as a token for `blocking`,2024-08-28T22:47:59Z,nickcoury
2316269320,w3c/pointerevents,"FYI @smaug---- @flackr ",https://github.com/w3c/pointerevents/issues/514#issuecomment-2316269320,https://github.com/w3c/pointerevents/issues/514,Coalesced and predicted event attributes within an untrusted event,2024-08-28T21:18:28Z,mustaqahmed
